Trade Date,Order Type,Security,Quantity,Executed Price
01/03/2023,Buy,SCHD,1.0,75.239
01/03/2023,Buy,PTLC,3.0,37.515
01/03/2023,Buy,DIA,1.0,329.435
01/03/2023,Buy,BRK-B,1.0,308.1795
01/03/2023,Buy,WM,1.0,155.9633
01/03/2023,Buy,SCI,1.0,66.98
01/05/2023,Buy,WM,1.0,155.065
01/06/2023,Buy,FNSFX,75.522,11.31
01/09/2023,Buy,BUG,0.28048,20.4600
01/09/2023,Sell,VTI,5.0,195.21
01/10/2023,Buy,WM,2.0,153.835
01/10/2023,Buy,PTLC,1.0,37.5285
01/10/2023,Sell,BUG,0.28048,20.3
01/12/2023,Buy,WM,1.0,154.93
01/12/2023,Buy,PTLC,1.0,37.535
01/13/2023,Buy,PTLC,1.0,37.5387
01/18/2023,Buy,BRK-B,1.0,311.78
01/18/2023,Buy,WM,1.0,151.945
01/19/2023,Buy,BRK-B,1.0,306.29
01/20/2023,Buy,FNSFX,72.88,11.72
02/03/2023,Sell,VTSAX,14.16,101.16
02/03/2023,Buy,FNSFX,71.357,11.97
02/06/2023,Buy,BRK-B,1.0,307.18
02/06/2023,Buy,WM,1.0,151.39
02/06/2023,Buy,SCI,1.0,72.51
02/07/2023,Buy,SCI,2.0,71.3
02/08/2023,Buy,BRK-B,1.0,308.64
02/08/2023,Buy,SCI,1.0,70.8029
02/08/2023,Buy,SCHD,1.0,76.745
02/08/2023,Buy,PTLC,2.0,38.0283
02/09/2023,Buy,SCHD,1.0,76.175
02/10/2023,Buy,PTLC,2.0,37.6999
02/14/2023,Buy,SCHD,1.0,77.0333
02/14/2023,Buy,PTLC,1.0,38.0883
02/15/2023,Sell,QQQ,3.0,307.1565
02/15/2023,Buy,SCI,4.0,69.825
02/15/2023,Buy,BRK-B,1.0,309.15
02/15/2023,Buy,ANET,96,141.52
02/16/2023,Buy,PTLC,2.0,38.0823
02/16/2023,Buy,SCHD,1.0,76.88
02/16/2023,Sell,ANET,94,141.37
02/17/2023,Buy,PTLC,2.0,37.47
02/17/2023,Buy,FNSFX,72.57,11.77
02/21/2023,Buy,SCHD,1.0,75.6665
02/21/2023,Buy,PTLC,1.0,37.0964
02/21/2023,Buy,DIA,1.0,332.75
02/21/2023,Buy,BRK-B,1.0,302.61
02/21/2023,Buy,WM,1.0,152.6032
02/21/2023,Buy,SCI,1.0,70.935
02/21/2023,Buy,ANET,47,134.53
02/22/2023,Buy,SCHD,1.0,74.915
02/23/2023,Buy,SCI,1.0,69.835
02/23/2023,Buy,WM,1.0,150.23
02/23/2023,Buy,SCI,1.0,69.85
02/23/2023,Buy,DIA,1.0,328.35
02/23/2023,Buy,BRK-B,1.0,300.65
02/23/2023,Sell,NVDA,4.0,235.245
02/23/2023,Sell,ANET,44,134.74
02/23/2023,Buy,FNSFX,1.831,11.61
02/24/2023,Buy,SCI,2.0,68.8753
02/24/2023,Buy,DIA,1.0,327.92
02/24/2023,Buy,SCHD,2.0,74.66
02/24/2023,Buy,PTLC,4.0,36.6345
02/27/2023,Buy,SCI,1.0,68.195
03/02/2023,Sell,CRM,4.0,186.67
03/02/2023,Buy,SCI,1.0,66.99
03/03/2023,Buy,FNSFX,72.818,11.73
03/06/2023,Buy,SCI,2.0,67.29
03/07/2023,Buy,DIA,1.0,331.455
03/07/2023,Buy,PTLC,3.0,37.155
03/07/2023,Buy,SCHD,2.0,74.745
03/07/2023,Buy,SCI,1.0,66.7
03/07/2023,Buy,WM,1.0,149.0686
03/08/2023,Buy,SCHD,1.0,73.96
03/08/2023,Buy,SCI,1.0,65.87
03/09/2023,Buy,PTLC,3.0,36.44
03/09/2023,Buy,BRK-B,1.0,306.275
03/09/2023,Buy,DIA,1.0,324.495
03/09/2023,Buy,SCHD,1.0,73.1791
03/09/2023,Buy,SCHD,1.0,73.6069
03/09/2023,Buy,BRK-B,1.0,309.165
03/09/2023,Buy,DIA,1.0,319.45
03/09/2023,Buy,PTLC,4.0,35.7
03/09/2023,Buy,SCHD,2.0,71.875
03/09/2023,Buy,SCI,2.0,64.5482
03/09/2023,Sell,FNSFX,0.475,11.39
03/12/2023,Buy,SCHD,1.0,71.405
03/12/2023,Buy,SCI,1.0,64.045
03/14/2023,Sell,CRM,2.0,182.0459
03/14/2023,Buy,FNSFX,2.27,11.35
03/15/2023,Buy,BRK-B,1.0,295.97
03/15/2023,Sell,MSFT,1.0,264.165
03/15/2023,Buy,BRK-B,1.0,296.04
03/15/2023,Buy,SCHD,1.0,70.446
03/15/2023,Buy,PTLC,2.0,35.755
03/16/2023,Sell,CRM,2.0,186.6535
03/17/2023,Buy,BRK-B,1.0,295.145
03/17/2023,Buy,SCHD,1.0,70.6999
03/17/2023,Buy,FNSFX,75.992,11.24
03/23/2023,Buy,VTSAX,0.28,95.3000
03/27/2023,Buy,SCHD,0.16763,71.1400
03/29/2023,Sell,CRM,2.0,194.74
03/30/2023,Buy,BRK-B,1.0,303.7662
03/31/2023,Buy,SCI,0.18521,68.7800
03/31/2023,Buy,FNSFX,72.447,11.79
04/12/2023,Sell,CRM,1.0,191.065
04/14/2023,Sell,CRM,2.0,191.85
04/14/2023,Buy,SCHD,1.0,73.355
04/14/2023,Buy,DIA,1.0,337.7582
04/14/2023,Buy,FNSFX,71.717,11.91
04/17/2023,Sell,CRM,1.0,196.51
04/18/2023,Sell,CRM,1.0,198.305
04/18/2023,Buy,SCI,2.0,70.84
04/18/2023,Buy,SCHD,1.0,73.855
04/19/2023,Buy,SCHD,1.0,73.675
04/19/2023,Buy,PTLC,2.0,38.3899
04/20/2023,Buy,SCHD,2.0,73.245
04/20/2023,Buy,PTLC,3.0,38.2399
04/20/2023,Buy,SCI,1.0,70.2885
04/21/2023,Sell,CRM,1.0,198.735
04/21/2023,Buy,SCHD,1.0,73.0491
04/25/2023,Buy,SCHD,1.0,72.505
04/25/2023,Buy,PTLC,2.0,37.96
04/26/2023,Sell,CRM,2.0,192.7617
04/26/2023,Buy,SCHD,2.0,71.425
04/26/2023,Buy,WM,1.0,163.7825
04/26/2023,Sell,QQQ,1.0,313.5413
04/26/2023,Buy,BRK-B,1.0,321.125
04/26/2023,Buy,PTLC,2.0,37.5489
04/27/2023,Sell,CRM,6.0,196.91
04/27/2023,Sell,QQQ,3.0,320.4211
04/27/2023,Buy,WM,2.0,161.72
04/27/2023,Buy,SCI,1.0,70.0666
