date,value_usd,value_cny,value_jpy,value_krw
2020-11-24,8595.0465429688,56594.0839621777,898397.2570939017,9566974.027865607
2020-11-25,9289.0449202995,61216.663833758,970825.9517552648,10308145.67623284
2020-11-26,9289.0449202995,61098.6929632702,969776.3082573608,10259657.131131176
2020-11-27,9343.1695938921,61426.6684950436,973950.6567769912,10329435.127470352
2020-11-30,9228.1558722754,60684.3530160827,960484.928726319,10190928.96839098
2020-12-01,9343.1695938921,61457.5009547034,974483.28284603,10356997.019957023
2020-12-02,9356.7002783833,61481.0061892007,975988.0306244784,10351130.655314134
2020-12-03,9397.2936222754,61668.7996668198,981622.4971956388,10331196.709443543
2020-12-04,9485.2453297005,62046.7837997027,984786.606895001,10351437.421005469
2020-12-07,9464.9483351498,61811.791597529,986228.6676960384,10257921.981152112
2020-12-08,9492.0103493414,61970.4879677451,987150.1018028164,10286302.287942836
2020-12-09,9451.4176506586,61733.8246688068,984223.3959541692,10253464.810722232
2020-12-10,9485.2453297005,62054.3719959664,989045.5294742632,10304390.974094722
2020-12-11,10164.1670642824,66518.3749354898,1058923.2429269035,11042046.122803653
2020-12-14,10149.6153112268,66436.3369426976,1054940.8962824529,11079116.634845924
2020-12-15,10251.4755010185,67144.089089021,1066255.9873638875,11195226.94047934
2020-12-16,10280.5783132639,67217.5051856133,1065417.4837585252,11187427.725334346
2020-12-17,10367.88675,67715.778730275,1072817.0607204763,11318103.81946678
2020-12-18,10338.7839377546,67533.970559807,1066249.0952682209,11291606.616976753
2020-12-21,10273.3024367361,67146.3047265072,1062845.0604707098,11290153.706458196
2020-12-22,10251.4755010185,67128.7118757695,1059387.437269352,11295690.641780138
2020-12-23,10316.957002037,67495.5960987268,1068155.7952980325,11430981.812777868
2020-12-24,11029.7147173767,72129.9223657567,1142149.0404732225,12185629.360213807
2020-12-25,11029.7147173767,72013.0073897525,1143263.019600248,12131693.889800115
2020-12-28,11068.6059239349,72397.5376272736,1145965.9439169378,12165393.708605044
2020-12-29,11091.9415380325,72492.4931159654,1150112.3594128797,12145675.98414562
2020-12-30,11157.2711529856,72856.9806289958,1155435.8210174905,12190657.551388739
2020-12-31,11165.2060478287,72821.7068851482,1151367.2351885526,12130103.645751093
2021-01-01,11165.2060478287,72927.7763426025,1152539.5371627505,12110341.007742316
2021-01-04,11117.5936516285,72620.1217324373,1147769.2287652865,12059587.139379103
2021-01-05,11244.5610505428,72645.4866670319,1159595.3583372294,12218564.872518044
2021-01-06,11323.916053257,73098.1429069845,1162717.063840237,12302868.041189168
2021-01-07,11442.9478005428,73929.4528549671,1178898.27708902,12437911.551095588
2021-01-08,12235.0460657272,79248.8403769284,1269875.4433968756,13373761.142371979
2021-01-11,12167.6346064167,78776.9167323236,1266541.2903194246,13297033.79353203
2021-01-12,12243.4717949924,79334.0241900126,1274888.2065820298,13424354.049689349
2021-01-13,12243.4717949924,79128.3338638567,1270284.6734305844,13388726.624191439
2021-01-14,12294.0301885757,79505.4932295193,1276575.188103079,13487903.275777882
2021-01-15,12176.0611392803,78816.8613606754,1264216.1124973802,13331569.633623488
2021-01-18,12176.0611392803,78897.2233641947,1265190.1243321558,13429707.919314235
2021-01-19,12285.6036557121,79750.7675706897,1274053.9927651256,13552249.097761558
2021-01-20,12403.5727050076,80349.1036257684,1288694.0305428875,13656209.388450537
2021-01-21,12378.2931064167,80030.6162502265,1281834.1426349815,13569703.817909308
2021-01-22,13040.4944920073,84259.8511106557,1349769.3837682195,14343240.204730649
2021-01-25,13049.4082260218,84570.6048312019,1354228.4374718608,14414898.498533804
2021-01-26,12978.1000540266,84081.2168200221,1346607.6875620005,14298361.912960729
2021-01-27,12666.1261640024,81870.0396862624,1312248.6309707642,13945404.906566663
2021-01-28,12790.9158900242,82911.9958907258,1332084.3279529568,14165939.348201783
2021-01-29,12559.1639060097,80986.5125315128,1309807.7629216549,13969432.91082289
2021-02-01,12782.0021560097,82147.371456243,1338096.6393580225,14282993.359418005
2021-02-02,12942.445968029,83705.2692982277,1357416.636745514,14455159.117484484
2021-02-03,12987.0129379807,83849.3503327783,1363999.9948502318,14462467.28305944
2021-02-04,13788.8905317116,89065.2017224314,1447764.6027437288,15349103.826308116
2021-02-05,13864.0855,89710.33804485,1463659.2205419145,15515714.074935425
2021-02-08,13986.2775475674,90431.0747393063,1474153.6814861556,15620573.743329952
2021-02-09,14033.2746268463,90486.554793905,1476440.809457226,15665764.84672326
2021-02-10,14052.0729207211,90413.8475865034,1469495.4835281854,15597800.942000369
2021-02-11,14099.07,91040.514804,1474974.17985186,15565091.0166186
2021-02-12,14155.4666744137,91400.4327700217,1482657.6924783632,15602438.067363715
2021-02-15,14155.4666744137,91404.679410024,1487159.1450362937,15618717.19377049
2021-02-16,14202.4628572979,91708.143162144,1496754.9673445162,15654522.517803404
2021-02-17,14155.4666744137,91403.2638633566,1501937.4380889148,15662457.104508562
2021-02-18,15772.1002987766,101849.9148893799,1669650.3097287924,17421074.157846637
2021-02-19,15845.9502829361,102795.848675463,1674156.339292765,17529106.66245701
2021-02-22,15729.9007390213,102020.9902131444,1659724.7465770934,17364865.693771034
2021-02-23,15719.3505975533,101595.7348470464,1650280.3188528814,17459011.819835898
2021-02-24,15814.299858532,102207.819985692,1664976.8845629198,17542961.90911177
2021-02-25,15487.2535219574,99985.708737757,1640781.5871302546,17147641.368043564
2021-02-26,15350.1047012234,99066.5057207554,1632928.757311232,17178762.75103064
2021-03-01,15677.1510377979,101555.0167077512,1669663.5856242909,17611241.082945302
2021-03-02,15592.7519182873,100779.0741982743,1666101.10403541,17180561.160045385
2021-03-03,15497.8026573086,100263.0342914579,1654514.4625823572,17424643.77978844
2021-03-04,15265.7055817127,98720.2648558198,1634315.8929012949,17242614.45454452
2021-03-05,16168.354878994,104593.0877122121,1745454.7832985057,18324404.61406732
2021-03-08,16035.9179652958,104164.5123271719,1738598.1738434865,18080336.986332174
2021-03-09,16245.6105347042,105996.1104947311,1769780.6147769734,18523732.17507357
2021-03-10,16322.8651378994,106190.0314411183,1772287.7770462986,18524983.42863082
2021-03-11,16554.63,107686.212687,1795051.6236053703,18806225.3918463
2021-03-12,16532.5566547928,107345.8903595696,1794691.6876610308,18675837.54750847
2021-03-15,16587.7389652958,107795.4216659747,1810004.262912964,18818789.85612808
2021-03-16,16576.7033452072,107730.3373701672,1809081.9926059544,18754716.646384537
2021-03-17,16620.8489831066,108118.6226351085,1812154.527158282,18778899.44996431
2021-03-18,16411.1564136982,106715.1856957139,1787027.216632854,18399039.872145243
2021-03-19,16455.3020515976,107038.448785232,1792492.5077825775,18530479.946495038
2021-03-22,17190.1336113739,111718.678340319,1871507.0707841553,19381531.500349175
2021-03-23,16948.3433474522,110271.006321528,1843573.0129108,19068919.982343663
2021-03-24,16810.1776392174,109516.6263017373,1824240.426977337,19049292.47706243
2021-03-25,16913.8010968609,110186.6486256099,1840052.4382412971,19188368.73009072
2021-03-26,17167.105444313,112355.27171194,1874287.42247176,19471101.99647719
2021-03-29,17074.9949721565,111679.0046153897,1874680.7729880367,19259910.66286887
2021-03-30,17109.5361247044,112387.4099423455,1879242.992683492,19362006.96615056
2021-03-31,17132.5642917652,112578.0799611892,1889807.5042031624,19399544.27369312
2021-04-01,17351.3263886261,113672.0094371673,1921659.397540341,19558414.25504435
2021-04-02,17351.3263886261,113901.0469454972,1919282.2484737723,19573338.269681815
2021-04-05,18926.4925625038,124280.8134116813,2094727.45519322,21364036.27776189
2021-04-06,18914.0406375084,124187.6994218163,2084194.8988830028,21261461.93731895
2021-04-07,18851.7833874931,123262.3856791239,2069793.8346112503,21066867.935523577
2021-04-08,18976.2990750046,124123.972249605,2084584.3490585056,21212845.399340138
2021-04-09,19013.6548499908,124539.43926744,2078762.9227768087,21216195.98134952
2021-04-12,18963.8471500092,124251.12652686,2080220.2492731044,21278575.452006247
2021-04-13,19026.1055875053,124581.0367764262,2080961.2915539143,21393903.495591205
2021-04-14,19063.4613624916,124724.6023102376,2076468.5417018817,21364229.389586505
2021-04-15,19925.6234740906,130076.4626012107,2169780.782810749,22239187.31678288
2021-04-16,19990.1902888641,130362.0279307697,2172713.8522769245,22302456.479145415
2021-04-19,19886.8819073868,129485.4767871861,2162081.953862947,22186800.277261224
2021-04-20,19667.3512888641,128020.6897446033,2126001.339623635,21918672.420547225
2021-04-21,19848.141572216,128983.1480070459,2146239.152172861,22152708.992443915
2021-04-22,19783.5735259094,128395.3921831522,2137397.519949302,22071742.312557608
2021-04-23,20016.018,129909.9616254,2161289.531555946,22389716.894075394
2021-04-26,20080.5860463066,130411.3580191336,2166173.1592398654,22372383.43217451
2021-04-27,20080.5860463066,130212.5602172752,2172759.631624226,22273988.05853296
2021-04-28,20132.2402370453,130499.1944405513,2189381.125778675,22390071.462803684
2021-04-29,20170.980572216,130665.5950487582,2188652.1864753594,22362760.00700637
2021-04-30,20228.3757502747,130901.8651551774,2202951.012479536,22385327.557668325
2021-05-03,21032.7822203636,136155.7157035239,2298525.4762896504,23488570.082741093
2021-05-04,20856.6054152727,135000.6355319772,2275184.4732226436,23367741.20783008
2021-05-05,20965.0217118788,135702.392536649,2292084.900668038,23583763.286720295
2021-05-06,21086.9903686666,136496.0886563792,2303100.0432493836,23701566.093607724
2021-05-07,21303.8229618788,137690.8685672149,2323181.957904349,23847286.704854824
2021-05-10,21086.9903686666,135620.9785560795,2289456.697219885,23448100.06872353
2021-05-11,20937.9169915152,134318.8312922689,2278966.6789003094,23357084.737293582
2021-05-12,20544.9075932121,132068.8294814455,2233539.546816426,22973931.607059445
2021-05-13,20639.7715296364,133233.8531781088,2263439.925665816,23355964.967582013
2021-05-14,20986.7109838963,135383.1738860163,2298380.6191256708,23624739.526223175
2021-05-17,20972.6161612987,134981.8548757349,2294655.942357867,23605309.27623245
2021-05-18,21685.3681667805,139614.737331366,2368952.9242193275,24623952.623914573
2021-05-19,20804.7567847977,133653.9185368972,2264972.1784283253,23449873.874488194
2021-05-20,36468.8232105522,234640.408536693,3985057.8280931422,41223263.51016779
2021-05-21,36294.0237720757,233512.1195471576,3950967.4641221794,40905181.270725034
2021-05-24,36634.0618917313,235674.2469618855,3990145.3505514152,41278896.02771228
2021-05-25,36704.6155808754,235581.2341827326,3995334.0371846366,41189550.39313024
2021-05-26,36796.4899170685,235865.500368409,4003531.769549865,41262848.0471847
2021-05-27,36805.2794541912,235211.4994078997,4018032.2844034946,41057026.07284495
2021-05-28,37678.3305225029,240463.1053946135,4137419.720988861,42098000.539030686
2021-05-31,37678.3305225029,239913.001768985,4141112.1973800655,41930329.21768742
2021-06-01,37616.4303285503,239579.0447625371,4118735.6554982415,41640635.29277005
